,0
coin,0.0
roll_std_3,0.0
roll_std_7,0.0
roll_mean_14,0.0
roll_std_14,0.0
momentum_1d,0.0
momentum_7d,0.0
vol_ratio_7_30,0.0
shock_z,0.0
regime_high_vol,0.0
regime_shock,0.0
lag1_shock,0.0
std7_volflag,0.0
abs_momentum_1d,0.0
shock_lag1,0.0
std7_shockflag,0.0
dayofweek,0.0
roll_mean_7,0.0
roll_mean_3,0.0
symbol,0.0
lag_14,0.0
price,0.0
pct_change_1h,0.0
pct_change_24h,0.0
pct_change_7d,0.0
volume_24h,0.0
mkt_cap,0.0
rolling_mean_price_7d,0.0
rolling_volatility_7d,0.0
price_momentum,0.0
volume_change_pct,0.0
volume_zscore,0.0
lag_1,0.0
lag_2,0.0
lag_3,0.0
lag_7,0.0
month,0.0
